name,mutrate,num_samples,migration_matrix,num_uniq_mutations,uniq_mut_per_site,total_mut_sites,avg_mut_sites_per_sample,avg_proportion_mut_sites,total_dropout,dropout_per_sample,true_migrations,inferred_migrations,proportion
sim6,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,28,2.8000,562,5.6200,.5620,0,0,3,2,.6666
sim7,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,27,2.7000,624,6.2400,.6240,0,0,3,0,0
sim8,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,39,3.9000,403,4.0300,.4030,0,0,3,3,1.0000
sim9,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,30,3.0000,673,6.7300,.6730,0,0,3,5,1.6666
sim20,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,35,3.5000,572,5.7200,.5720,0,0,3,2,.6666
sim21,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,38,3.8000,539,5.3900,.5390,0,0,3,0,0
sim22,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,35,3.5000,537,5.3700,.5370,0,0,3,3,1.0000
sim23,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,31,3.1000,528,5.2800,.5280,0,0,3,2,.6666
sim24,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,34,3.4000,510,5.1000,.5100,0,0,3,3,1.0000
sim25,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,36,3.6000,487,4.8700,.4870,0,0,3,3,1.0000
sim26,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,26,2.6000,813,8.1300,.8130,0,0,3,2,.6666
sim27,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,727,7.2700,.7270,0,0,3,3,1.0000
sim28,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,34,3.4000,557,5.5700,.5570,0,0,3,1,.3333
sim29,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,27,2.7000,596,5.9600,.5960,0,0,3,3,1.0000
sim30,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,40,4.0000,411,4.1100,.4110,0,0,3,3,1.0000
sim31,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,36,3.6000,509,5.0900,.5090,0,0,3,3,1.0000
sim32,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,38,3.8000,500,5.0000,.5000,0,0,3,3,1.0000
sim33,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,594,5.9400,.5940,0,0,3,1,.3333
sim34,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,566,5.6600,.5660,0,0,3,1,.3333
sim35,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,25,2.5000,789,7.8900,.7890,0,0,3,2,.6666
sim36,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,22,2.2000,751,7.5100,.7510,0,0,3,1,.3333
sim37,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,27,2.7000,511,5.1100,.5110,0,0,3,1,.3333
sim38,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,34,3.4000,585,5.8500,.5850,0,0,3,2,.6666
sim39,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,539,5.3900,.5390,0,0,3,2,.6666
sim40,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,33,3.3000,791,7.9100,.7910,0,0,3,3,1.0000
sim41,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,23,2.3000,615,6.1500,.6150,0,0,3,0,0
sim42,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,31,3.1000,469,4.6900,.4690,0,0,3,1,.3333
sim43,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,27,2.7000,614,6.1400,.6140,0,0,3,2,.6666
sim44,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,37,3.7000,474,4.7400,.4740,0,0,3,0,0
sim45,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,41,4.1000,408,4.0800,.4080,0,0,3,3,1.0000
sim46,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,44,4.4000,498,4.9800,.4980,0,0,3,2,.6666
sim47,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,28,2.8000,539,5.3900,.5390,0,0,3,1,.3333
sim48,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,33,3.3000,713,7.1300,.7130,0,0,3,0,0
sim49,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,30,3.0000,571,5.7100,.5710,0,0,3,0,0
sim50,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,31,3.1000,659,6.5900,.6590,0,0,3,1,.3333
sim51,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,36,3.6000,420,4.2000,.4200,0,0,3,1,.3333
sim52,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,22,2.2000,749,7.4900,.7490,0,0,3,1,.3333
sim53,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,30,3.0000,636,6.3600,.6360,0,0,3,0,0
sim54,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,598,5.9800,.5980,0,0,3,1,.3333
sim55,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,721,7.2100,.7210,0,0,3,0,0
sim56,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,713,7.1300,.7130,0,0,3,0,0
sim57,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,33,3.3000,447,4.4700,.4470,0,0,3,2,.6666
sim58,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,28,2.8000,579,5.7900,.5790,0,0,3,1,.3333
sim59,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,26,2.6000,678,6.7800,.6780,0,0,3,2,.6666
sim60,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,33,3.3000,490,4.9000,.4900,0,0,3,2,.6666
sim61,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,741,7.4100,.7410,0,0,3,2,.6666
sim62,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,25,2.5000,741,7.4100,.7410,0,0,3,2,.6666
sim63,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,27,2.7000,464,4.6400,.4640,0,0,3,0,0
sim64,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,25,2.5000,749,7.4900,.7490,0,0,3,0,0
sim65,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,31,3.1000,559,5.5900,.5590,0,0,3,0,0
sim66,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,39,3.9000,519,5.1900,.5190,0,0,3,1,.3333
sim67,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,571,5.7100,.5710,0,0,3,3,1.0000
sim68,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,25,2.5000,733,7.3300,.7330,0,0,3,2,.6666
sim69,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,36,3.6000,611,6.1100,.6110,0,0,3,0,0
sim70,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,22,2.2000,733,7.3300,.7330,0,0,3,4,1.3333
sim71,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,37,3.7000,457,4.5700,.4570,0,0,3,1,.3333
sim72,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,35,3.5000,603,6.0300,.6030,0,0,3,1,.3333
sim73,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,37,3.7000,574,5.7400,.5740,0,0,3,0,0
sim74,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,25,2.5000,671,6.7100,.6710,0,0,3,2,.6666
sim75,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,31,3.1000,629,6.2900,.6290,0,0,3,0,0
sim76,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,38,3.8000,476,4.7600,.4760,0,0,3,2,.6666
sim77,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,488,4.8800,.4880,0,0,3,3,1.0000
sim78,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,34,3.4000,521,5.2100,.5210,0,0,3,3,1.0000
sim79,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,37,3.7000,450,4.5000,.4500,0,0,3,2,.6666
sim80,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,30,3.0000,763,7.6300,.7630,0,0,3,2,.6666
sim81,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,643,6.4300,.6430,0,0,3,1,.3333
sim82,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,33,3.3000,697,6.9700,.6970,0,0,3,2,.6666
sim83,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,689,6.8900,.6890,0,0,3,1,.3333
sim84,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,694,6.9400,.6940,0,0,3,1,.3333
sim85,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,805,8.0500,.8050,0,0,3,4,1.3333
sim86,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,597,5.9700,.5970,0,0,3,2,.6666
sim87,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,46,4.6000,400,4.0000,.4000,0,0,3,2,.6666
sim88,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,39,3.9000,712,7.1200,.7120,0,0,3,3,1.0000
sim89,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,680,6.8000,.6800,0,0,3,3,1.0000
sim90,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,35,3.5000,412,4.1200,.4120,0,0,3,3,1.0000
sim91,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,32,3.2000,556,5.5600,.5560,0,0,3,1,.3333
sim92,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,36,3.6000,525,5.2500,.5250,0,0,3,3,1.0000
sim93,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,23,2.3000,591,5.9100,.5910,0,0,3,2,.6666
sim94,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,28,2.8000,746,7.4600,.7460,0,0,3,,
sim95,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,36,3.6000,646,6.4600,.6460,0,0,3,3,1.0000
sim96,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,29,2.9000,573,5.7300,.5730,0,0,3,3,1.0000
sim97,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,39,3.9000,406,4.0600,.4060,0,0,3,2,.6666
sim98,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,28,2.8000,716,7.1600,.7160,0,0,3,3,1.0000
sim99,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1,100,data/rare_migration_prob_matrix.csv,35,3.5000,438,4.3800,.4380,0,0,3,2,.6666
sim100,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,30,3.3333,549,5.4900,.6100,0,0,3,1,.3333
sim101,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,32,3.5555,689,6.8900,.7655,0,0,3,3,1.0000
sim102,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,20,2.2222,744,7.4400,.8266,0,0,3,0,0
sim103,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,31,3.4444,533,5.3300,.5922,0,0,3,2,.6666
sim104,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,29,3.2222,538,5.3800,.5977,0,0,3,3,1.0000
sim105,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,32,3.5555,615,6.1500,.6833,0,0,3,2,.6666
sim106,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,28,3.1111,574,5.7400,.6377,0,0,3,3,1.0000
sim107,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,28,3.1111,561,5.6100,.6233,0,0,3,1,.3333
sim108,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,30,3.3333,631,6.3100,.7011,0,0,3,1,.3333
sim109,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,26,2.8888,652,6.5200,.7244,0,0,3,2,.6666
sim110,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,33,3.6666,469,4.6900,.5211,0,0,3,3,1.0000
sim111,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,26,2.8888,521,5.2100,.5788,0,0,3,1,.3333
sim112,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,20,2.2222,758,7.5800,.8422,0,0,3,1,.3333
sim113,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,34,3.7777,436,4.3600,.4844,0,0,3,2,.6666
sim114,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,37,4.1111,518,5.1800,.5755,0,0,3,1,.3333
sim115,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,30,3.3333,665,6.6500,.7388,0,0,3,3,1.0000
sim116,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,22,2.4444,562,5.6200,.6244,0,0,3,2,.6666
sim117,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,26,2.8888,648,6.4800,.7200,0,0,3,0,0
sim118,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,30,3.3333,528,5.2800,.5866,0,0,3,3,1.0000
sim119,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,37,4.1111,407,4.0700,.4522,0,0,3,3,1.0000
sim120,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,26,2.8888,511,5.1100,.5677,0,0,3,2,.6666
sim121,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,33,3.6666,471,4.7100,.5233,0,0,3,2,.6666
sim122,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,29,3.2222,669,6.6900,.7433,0,0,3,1,.3333
sim123,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,33,3.6666,511,5.1100,.5677,0,0,3,2,.6666
sim124,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,30,3.3333,515,5.1500,.5722,0,0,3,0,0
sim125,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,36,4.0000,520,5.2000,.5777,0,0,3,3,1.0000
sim126,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,29,3.2222,474,4.7400,.5266,0,0,3,1,.3333
sim127,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,37,4.1111,401,4.0100,.4455,0,0,3,2,.6666
sim128,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,25,2.7777,711,7.1100,.7900,0,0,3,2,.6666
sim129,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,32,3.5555,407,4.0700,.4522,0,0,3,2,.6666
sim130,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,28,3.1111,588,5.8800,.6533,0,0,3,,
sim131,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,28,3.1111,524,5.2400,.5822,0,0,3,3,1.0000
sim132,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,32,3.5555,626,6.2600,.6955,0,0,3,2,.6666
sim133,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,29,3.2222,730,7.3000,.8111,0,0,3,2,.6666
sim134,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,26,2.8888,640,6.4000,.7111,0,0,3,0,0
sim135,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,23,2.5555,651,6.5100,.7233,0,0,3,3,1.0000
sim136,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,30,3.3333,603,6.0300,.6700,0,0,3,2,.6666
sim137,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,37,4.1111,249,2.4900,.2766,0,0,3,2,.6666
sim138,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,32,3.5555,290,2.9000,.3222,0,0,3,2,.6666
sim139,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,24,2.6666,660,6.6000,.7333,0,0,3,2,.6666
sim140,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,36,4.0000,493,4.9300,.5477,0,0,3,2,.6666
sim141,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,27,3.0000,763,7.6300,.8477,0,0,3,1,.3333
sim142,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,27,3.0000,582,5.8200,.6466,0,0,3,2,.6666
sim143,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,33,3.6666,420,4.2000,.4666,0,0,3,0,0
sim144,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,26,2.8888,532,5.3200,.5911,0,0,3,2,.6666
sim145,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,32,3.5555,441,4.4100,.4900,0,0,3,3,1.0000
sim146,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,26,2.8888,492,4.9200,.5466,0,0,3,3,1.0000
sim147,0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0,100,data/rare_migration_prob_matrix.csv,31,3.4444,519,5.1900,.5766,0,0,3,3,1.0000
